ad_id,ad_url,ad_type,regions,advertiser_id,advertiser_name,ad_campaigns_list,date_range_start,date_range_end,num_of_days,impressions,spend_usd,first_served_timestamp,last_served_timestamp,age_targeting,gender_targeting,geo_targeting_included,geo_targeting_excluded,spend_range_min_usd,spend_range_max_usd,spend_range_min_eur,spend_range_max_eur,spend_range_min_inr,spend_range_max_inr,spend_range_min_bgn,spend_range_max_bgn,spend_range_min_hrk,spend_range_max_hrk,spend_range_min_czk,spend_range_max_czk,spend_range_min_dkk,spend_range_max_dkk,spend_range_min_huf,spend_range_max_huf,spend_range_min_pln,spend_range_max_pln,spend_range_min_ron,spend_range_max_ron,spend_range_min_sek,spend_range_max_sek,spend_range_min_gbp,spend_range_max_gbp,spend_range_min_nzd,spend_range_max_nzd
CR179835297205321728,https://transparencyreport.google.com/political-ads/library/advertiser/AR312619193323225088/creative/CR179835297205321728,Image,"CZ, EU",AR312619193323225088,HLAS,,2019-05-20,2019-05-21,2,≤ 10k,,2019-05-20 07:00:00 UTC,2019-05-21 07:00:00 UTC,Not targeted,Not targeted,"South Bohemian Region, South Moravian Region, Central Bohemian Region, Hradec Kralove Region, Karlovy Vary Region, Liberec Region, Moravian-Silesian Region, Olomouc Region, Pardubice Region, Plzen Region, Prague, Usti nad Labem Region, Vysocina Region, Zlin Region",Not targeted,0,100,0,50,0,250,0,25,0,100,0,1000,0,500,0,7500,0,100,0,75,0,750,0,50,0,200
CR257914916428578816,https://transparencyreport.google.com/political-ads/library/advertiser/AR312619193323225088/creative/CR257914916428578816,Image,"CZ, EU",AR312619193323225088,HLAS,,2019-05-09,2019-05-22,14,10k-100k,,2019-05-09 07:00:00 UTC,2019-05-22 07:00:00 UTC,Not targeted,Not targeted,"South Bohemian Region, South Moravian Region, Central Bohemian Region, Hradec Kralove Region, Karlovy Vary Region, Liberec Region, Moravian-Silesian Region, Olomouc Region, Pardubice Region, Plzen Region, Prague, Usti nad Labem Region, Vysocina Region, Zlin Region",Not targeted,0,100,0,50,250,2500,0,25,0,100,0,1000,0,500,0,7500,0,100,0,75,0,750,0,50,0,200
CR280198993466621952,https://transparencyreport.google.com/political-ads/library/advertiser/AR312619193323225088/creative/CR280198993466621952,Image,"CZ, EU",AR312619193323225088,HLAS,,2019-04-09,2019-04-12,4,≤ 10k,,2019-04-09 07:00:00 UTC,2019-04-12 07:00:00 UTC,Not targeted,Not targeted,"South Bohemian Region, South Moravian Region, Central Bohemian Region, Hradec Kralove Region, Karlovy Vary Region, Liberec Region, Moravian-Silesian Region, Olomouc Region, Pardubice Region, Plzen Region, Prague, Usti nad Labem Region, Vysocina Region, Zlin Region",Not targeted,0,100,0,50,0,250,0,25,0,100,0,1000,0,500,0,7500,0,100,0,75,0,750,0,50,0,200
CR386128967343538176,https://transparencyreport.google.com/political-ads/library/advertiser/AR312619193323225088/creative/CR386128967343538176,Image,"CZ, EU",AR312619193323225088,HLAS,,2019-05-19,2019-05-22,4,≤ 10k,,2019-05-19 07:00:00 UTC,2019-05-22 07:00:00 UTC,Not targeted,Not targeted,"South Bohemian Region, South Moravian Region, Central Bohemian Region, Hradec Kralove Region, Karlovy Vary Region, Liberec Region, Moravian-Silesian Region, Olomouc Region, Pardubice Region, Plzen Region, Prague, Usti nad Labem Region, Vysocina Region, Zlin Region",Not targeted,0,100,0,50,250,2500,0,25,0,100,0,1000,0,500,0,7500,0,100,0,75,0,750,0,50,0,200
CR466992824886231040,https://transparencyreport.google.com/political-ads/library/advertiser/AR312619193323225088/creative/CR466992824886231040,Image,"CZ, EU",AR312619193323225088,HLAS,,2019-04-13,2019-04-19,7,≤ 10k,,2019-04-13 07:00:00 UTC,2019-04-19 07:00:00 UTC,Not targeted,Not targeted,"South Bohemian Region, South Moravian Region, Central Bohemian Region, Hradec Kralove Region, Karlovy Vary Region, Liberec Region, Moravian-Silesian Region, Olomouc Region, Pardubice Region, Plzen Region, Prague, Usti nad Labem Region, Vysocina Region, Zlin Region",Not targeted,0,100,0,50,0,250,0,25,0,100,0,1000,0,500,0,7500,0,100,0,75,0,750,0,50,0,200
CR467651157473361920,https://transparencyreport.google.com/political-ads/library/advertiser/AR312619193323225088/creative/CR467651157473361920,Image,"CZ, EU",AR312619193323225088,HLAS,,2019-05-19,2019-05-22,4,≤ 10k,,2019-05-19 07:00:00 UTC,2019-05-22 07:00:00 UTC,Not targeted,Not targeted,"South Bohemian Region, South Moravian Region, Central Bohemian Region, Hradec Kralove Region, Karlovy Vary Region, Liberec Region, Moravian-Silesian Region, Olomouc Region, Pardubice Region, Plzen Region, Prague, Usti nad Labem Region, Vysocina Region, Zlin Region",Not targeted,0,100,0,50,0,250,0,25,0,100,0,1000,0,500,0,7500,0,100,0,75,0,750,0,50,0,200
CR505859186538577920,https://transparencyreport.google.com/political-ads/library/advertiser/AR312619193323225088/creative/CR505859186538577920,Image,"CZ, EU",AR312619193323225088,HLAS,,2019-05-10,2019-05-17,7,≤ 10k,,2019-05-10 07:00:00 UTC,2019-05-19 07:00:00 UTC,Not targeted,Not targeted,"South Bohemian Region, South Moravian Region, Central Bohemian Region, Hradec Kralove Region, Karlovy Vary Region, Liberec Region, Moravian-Silesian Region, Olomouc Region, Pardubice Region, Plzen Region, Prague, Usti nad Labem Region, Vysocina Region, Zlin Region",Not targeted,0,100,0,50,0,250,0,25,0,100,0,1000,0,500,0,7500,0,100,0,75,0,750,0,50,0,200
CR518419732496384,https://transparencyreport.google.com/political-ads/library/advertiser/AR312619193323225088/creative/CR518419732496384,Image,"CZ, EU",AR312619193323225088,HLAS,,2019-04-26,2019-04-29,3,≤ 10k,,2019-04-26 07:00:00 UTC,2019-05-03 07:00:00 UTC,Not targeted,Not targeted,"South Bohemian Region, South Moravian Region, Central Bohemian Region, Hradec Kralove Region, Karlovy Vary Region, Liberec Region, Moravian-Silesian Region, Olomouc Region, Pardubice Region, Plzen Region, Prague, Usti nad Labem Region, Vysocina Region, Zlin Region",Not targeted,0,100,0,50,0,250,0,25,0,100,0,1000,0,500,0,7500,0,100,0,75,0,750,0,50,0,200
CR575307914361700352,https://transparencyreport.google.com/political-ads/library/advertiser/AR312619193323225088/creative/CR575307914361700352,Image,"CZ, EU",AR312619193323225088,HLAS,,2019-04-25,2019-05-09,15,≤ 10k,,2019-04-25 07:00:00 UTC,2019-05-09 07:00:00 UTC,Not targeted,Not targeted,"South Bohemian Region, South Moravian Region, Central Bohemian Region, Hradec Kralove Region, Karlovy Vary Region, Liberec Region, Moravian-Silesian Region, Olomouc Region, Pardubice Region, Plzen Region, Prague, Usti nad Labem Region, Vysocina Region, Zlin Region",Not targeted,0,100,0,50,250,2500,0,25,0,100,0,1000,0,500,0,7500,0,100,0,75,0,750,0,50,0,200
CR81711581007708160,https://transparencyreport.google.com/political-ads/library/advertiser/AR312619193323225088/creative/CR81711581007708160,Image,"CZ, EU",AR312619193323225088,HLAS,,2019-05-09,2019-05-19,11,≤ 10k,,2019-05-09 07:00:00 UTC,2019-05-19 07:00:00 UTC,Not targeted,Not targeted,"South Bohemian Region, South Moravian Region, Central Bohemian Region, Hradec Kralove Region, Karlovy Vary Region, Liberec Region, Moravian-Silesian Region, Olomouc Region, Pardubice Region, Plzen Region, Prague, Usti nad Labem Region, Vysocina Region, Zlin Region",Not targeted,0,100,0,50,0,250,0,25,0,100,0,1000,0,500,0,7500,0,100,0,75,0,750,0,50,0,200
CR337743240176336896,https://transparencyreport.google.com/political-ads/library/advertiser/AR410606776237424640/creative/CR337743240176336896,Image,"CZ, EU",AR410606776237424640,Strana soukromníků České republiky,,2020-10-04,2020-10-10,7,≤ 10k,,2020-10-04 17:45:00 UTC,2020-10-10 11:00:00 UTC,Not targeted,Not targeted,"Kunovice, Uherske Hradiste, Knezpole, Veseli nad Moravou, Dolni Nemci,Zlin Region,Czechia, Ostrozska Nova Ves,Zlin Region,Czechia",Slovakia,0,100,0,50,0,250,0,25,0,100,0,1000,0,500,0,7500,0,100,0,75,0,750,0,50,0,200
CR115155907226107904,https://transparencyreport.google.com/political-ads/library/advertiser/AR421297465233244160/creative/CR115155907226107904,Image,"CZ, EU",AR421297465233244160,Česká strana sociálně demokratická,,2020-09-30,2020-10-01,2,≤ 10k,,2020-09-30 14:00:00 UTC,2020-10-01 23:30:00 UTC,Not targeted,Not targeted,"Plzen Region, Plzen",Not targeted,0,100,0,50,0,250,0,25,0,100,0,1000,0,500,0,7500,0,100,0,75,0,750,0,50,0,200
CR117020678946816000,https://transparencyreport.google.com/political-ads/library/advertiser/AR421297465233244160/creative/CR117020678946816000,Image,"CZ, EU",AR421297465233244160,Česká strana sociálně demokratická,,2020-09-30,2020-10-02,3,≤ 10k,,2020-09-30 14:00:00 UTC,2020-10-02 07:15:00 UTC,Not targeted,Not targeted,"Plzen Region, Plzen",Not targeted,0,100,0,50,250,2500,0,25,0,100,0,1000,0,500,0,7500,0,100,0,75,0,750,0,50,0,200
CR77385483788746752,https://transparencyreport.google.com/political-ads/library/advertiser/AR421297465233244160/creative/CR77385483788746752,Image,"CZ, EU",AR421297465233244160,Česká strana sociálně demokratická,,2020-09-30,2020-10-01,2,≤ 10k,,2020-09-30 17:00:00 UTC,2020-10-02 03:45:00 UTC,Not targeted,Not targeted,"Plzen Region, Plzen",Not targeted,0,100,0,50,0,250,0,25,0,100,0,1000,0,500,0,7500,0,100,0,75,0,750,0,50,0,200
CR145404571617853440,https://transparencyreport.google.com/political-ads/library/advertiser/AR469148211274055680/creative/CR145404571617853440,Image,"CZ, EU",AR469148211274055680,JsmePRO!,,2020-09-07,2020-09-16,8,10k-100k,,2020-09-07 19:00:00 UTC,2020-09-16 12:30:00 UTC,Not targeted,Not targeted,Usti nad Labem Region,Not targeted,0,100,0,50,250,2500,25,250,100,1500,0,1000,0,500,0,7500,0,100,75,750,0,750,0,50,0,200
CR469535651683893248,https://transparencyreport.google.com/political-ads/library/advertiser/AR469148211274055680/creative/CR469535651683893248,Image,"CZ, EU",AR469148211274055680,JsmePRO!,,2020-04-25,2020-07-05,31,≤ 10k,,2020-04-25 09:30:00 UTC,2020-07-05 20:00:00 UTC,Not targeted,Not targeted,Usti nad Labem Region,"Saxony, Central Bohemian Region, Karlovy Vary Region, Liberec Region",0,100,0,50,0,250,0,25,0,100,0,1000,0,500,0,7500,0,100,0,75,0,750,0,50,0,200
CR21599012574461952,https://transparencyreport.google.com/political-ads/library/advertiser/AR48624596068335616/creative/CR21599012574461952,Image,"CZ, EU",AR48624596068335616,PRodukujeme s.r.o.,,2020-08-26,2020-09-10,16,10k-100k,,2020-08-26 09:00:00 UTC,2020-09-10 22:00:00 UTC,"18-24, 25-34, 35-44, 45-54, 55-64, ≥65, Unknown age",Not targeted,"Znojmo, Hrusovany nad Jevisovkou, Moravsky Krumlov,South Moravian Region,Czechia",Austria,0,100,0,50,250,2500,0,25,0,100,0,1000,0,500,0,7500,0,100,0,75,0,750,0,50,0,200
CR22801878295248896,https://transparencyreport.google.com/political-ads/library/advertiser/AR48624596068335616/creative/CR22801878295248896,Image,"CZ, EU",AR48624596068335616,PRodukujeme s.r.o.,,2020-08-26,2020-08-26,1,≤ 10k,,2020-08-26 08:15:00 UTC,2020-08-26 10:30:00 UTC,Not targeted,Not targeted,"Znojmo, Hrusovany nad Jevisovkou, Moravsky Krumlov,South Moravian Region,Czechia",Not targeted,0,100,0,50,0,250,0,25,0,100,0,1000,0,500,0,7500,0,100,0,75,0,750,0,50,0,200
CR493871967175180288,https://transparencyreport.google.com/political-ads/library/advertiser/AR48624596068335616/creative/CR493871967175180288,Image,"CZ, EU",AR48624596068335616,PRodukujeme s.r.o.,,2020-10-05,2020-10-10,6,≤ 10k,,2020-10-06 03:30:00 UTC,2020-10-10 11:45:00 UTC,Not targeted,Not targeted,"Znojmo, Hrusovany nad Jevisovkou, Moravsky Krumlov,South Moravian Region,Czechia",Austria,0,100,0,50,250,2500,0,25,0,100,0,1000,0,500,0,7500,0,100,0,75,0,750,0,50,0,200
CR576179483485143040,https://transparencyreport.google.com/political-ads/library/advertiser/AR48624596068335616/creative/CR576179483485143040,Text,"CZ, EU",AR48624596068335616,PRodukujeme s.r.o.,,2020-07-16,2020-07-16,1,≤ 10k,,2020-07-16 13:00:00 UTC,2020-07-16 13:30:00 UTC,Not targeted,Not targeted,"Louny, Zatec, Rakovnik, Podborany",Not targeted,0,100,0,50,0,250,0,25,0,100,0,1000,0,500,0,7500,0,100,0,75,0,750,0,50,0,200
CR201039859983319040,https://transparencyreport.google.com/political-ads/library/advertiser/AR492577704550334464/creative/CR201039859983319040,Image,"CZ, EU",AR492577704550334464,Občanská demokratická strana,,2020-09-22,2020-09-22,1,≤ 10k,,2020-09-22 14:30:00 UTC,2020-09-22 17:30:00 UTC,Not targeted,Not targeted,Zlin Region,Not targeted,0,100,0,50,0,250,0,25,0,100,0,1000,0,500,0,7500,0,100,0,75,0,750,0,50,0,200
CR351796098290941952,https://transparencyreport.google.com/political-ads/library/advertiser/AR492577704550334464/creative/CR351796098290941952,Image,"CZ, EU",AR492577704550334464,Občanská demokratická strana,,2020-09-21,2020-09-22,2,≤ 10k,,2020-09-21 20:45:00 UTC,2020-09-22 18:15:00 UTC,Not targeted,Not targeted,Zlin,Not targeted,0,100,0,50,0,250,0,25,0,100,0,1000,0,500,0,7500,0,100,0,75,0,750,0,50,0,200
CR573513236507262976,https://transparencyreport.google.com/political-ads/library/advertiser/AR492577704550334464/creative/CR573513236507262976,Image,"CZ, EU",AR492577704550334464,Občanská demokratická strana,,2019-05-23,2019-05-24,2,≤ 10k,,2019-05-23 09:00:00 UTC,2019-05-24 14:30:00 UTC,Not targeted,Not targeted,Czech Republic,Not targeted,0,100,0,50,250,2500,0,25,0,100,0,1000,0,500,0,7500,0,100,0,75,0,750,0,50,0,200
CR458875336696791040,https://transparencyreport.google.com/political-ads/library/advertiser/AR513405066120527872/creative/CR458875336696791040,Video,"CZ, EU",AR513405066120527872,Kladenská realizační spol. s r.o.,,2020-09-17,2020-09-17,1,≤ 10k,,2020-09-17 16:45:00 UTC,2020-09-17 19:15:00 UTC,"18-24, 25-34, 35-44, 45-54, 55-64, ≥65, Unknown age","Male, Female, Unknown gender",Central Bohemian Region,Not targeted,0,100,0,50,0,250,0,25,0,100,0,1000,0,500,0,7500,0,100,0,75,0,750,0,50,0,200
CR118043843235938304,https://transparencyreport.google.com/political-ads/library/advertiser/AR522320249995919360/creative/CR118043843235938304,Image,"CZ, EU",AR522320249995919360,Flamesite s.r.o.,,2019-04-29,2019-04-29,1,≤ 10k,,2019-04-29 07:00:00 UTC,2019-04-29 07:00:00 UTC,"18-24, 25-34, 35-44, 45-54, 55-64, ≥65, Unknown age, ≤18","Male, Female, Unknown gender",Prague,Not targeted,0,100,0,50,0,250,0,25,0,100,0,1000,0,500,0,7500,0,100,0,75,0,750,0,50,0,200
CR209900618033135616,https://transparencyreport.google.com/political-ads/library/advertiser/AR522320249995919360/creative/CR209900618033135616,Image,"CZ, EU",AR522320249995919360,Flamesite s.r.o.,,2019-04-25,2019-05-23,23,≤ 10k,,2019-04-25 07:00:00 UTC,2019-05-23 07:00:00 UTC,"18-24, 25-34, 35-44, 45-54, 55-64, ≥65, Unknown age",Not targeted,Prague,Not targeted,0,100,0,50,0,250,0,25,0,100,0,1000,0,500,0,7500,0,100,0,75,0,750,0,50,0,200
CR358049639393394688,https://transparencyreport.google.com/political-ads/library/advertiser/AR522320249995919360/creative/CR358049639393394688,Image,"CZ, EU",AR522320249995919360,Flamesite s.r.o.,,2019-05-07,2019-05-22,3,≤ 10k,,2019-05-07 07:00:00 UTC,2019-05-22 07:00:00 UTC,"18-24, 25-34, 35-44, 45-54, 55-64, ≥65, Unknown age, ≤18","Male, Female, Unknown gender",Czech Republic,Prague,0,100,0,50,0,250,0,25,0,100,0,1000,0,500,0,7500,0,100,0,75,0,750,0,50,0,200
CR423738862083244032,https://transparencyreport.google.com/political-ads/library/advertiser/AR522320249995919360/creative/CR423738862083244032,Image,"CZ, EU",AR522320249995919360,Flamesite s.r.o.,,2019-05-07,2019-05-23,11,≤ 10k,,2019-05-07 07:00:00 UTC,2019-05-23 07:00:00 UTC,"18-24, 25-34, 35-44, 45-54, 55-64, ≥65, Unknown age, ≤18","Male, Female, Unknown gender",Czech Republic,Prague,0,100,0,50,0,250,0,25,0,100,0,1000,0,500,0,7500,0,100,0,75,0,750,0,50,0,200
CR564840563665272832,https://transparencyreport.google.com/political-ads/library/advertiser/AR522320249995919360/creative/CR564840563665272832,Image,"CZ, EU",AR522320249995919360,Flamesite s.r.o.,,2019-04-25,2019-05-23,28,≤ 10k,,2019-04-25 07:00:00 UTC,2019-05-23 07:00:00 UTC,"18-24, 25-34, 35-44, 45-54, 55-64, ≥65, Unknown age",Not targeted,Czech Republic,Prague,0,100,0,50,250,2500,0,25,0,100,0,1000,0,500,0,7500,0,100,0,75,0,750,0,50,0,200
CR152291190899736576,https://transparencyreport.google.com/political-ads/library/advertiser/AR534745624742985728/creative/CR152291190899736576,Video,"CZ, EU",AR534745624742985728,Svoboda a přímá demokracie (SPD),,2021-02-13,2021-02-14,2,≤ 10k,,2021-02-14 00:45:00 UTC,2021-02-14 21:15:00 UTC,"18-24, 25-34, 35-44, 45-54, 55-64, ≥65, Unknown age, ≤18","Male, Female, Unknown gender",Czech Republic,Not targeted,0,100,0,50,250,2500,25,250,100,1500,0,1000,0,500,0,7500,0,100,75,750,0,750,0,50,0,200
CR260675858845401088,https://transparencyreport.google.com/political-ads/library/advertiser/AR534745624742985728/creative/CR260675858845401088,Video,"CZ, EU",AR534745624742985728,Svoboda a přímá demokracie (SPD),,2020-06-18,2020-06-19,2,≤ 10k,,2020-06-18 15:45:00 UTC,2020-06-19 22:00:00 UTC,Not targeted,Not targeted,Czech Republic,Not targeted,0,100,0,50,250,2500,25,250,100,1500,0,1000,0,500,0,7500,0,100,75,750,0,750,0,50,0,200
CR330322773639430144,https://transparencyreport.google.com/political-ads/library/advertiser/AR534745624742985728/creative/CR330322773639430144,Video,"CZ, EU",AR534745624742985728,Svoboda a přímá demokracie (SPD),,2020-07-10,2020-07-11,2,≤ 10k,,2020-07-10 20:30:00 UTC,2020-07-11 20:45:00 UTC,Not targeted,Not targeted,Czech Republic,Not targeted,0,100,0,50,250,2500,25,250,100,1500,0,1000,0,500,0,7500,0,100,75,750,0,750,0,50,0,200
CR373870271687294976,https://transparencyreport.google.com/political-ads/library/advertiser/AR534745624742985728/creative/CR373870271687294976,Video,"CZ, EU",AR534745624742985728,Svoboda a přímá demokracie (SPD),,2021-03-11,2021-03-12,2,≤ 10k,,2021-03-11 10:15:00 UTC,2021-03-12 21:45:00 UTC,Not targeted,Not targeted,Czech Republic,Not targeted,0,100,0,50,250,2500,25,250,100,1500,0,1000,0,500,0,7500,0,100,75,750,0,750,0,50,0,200
CR420714174314708992,https://transparencyreport.google.com/political-ads/library/advertiser/AR534745624742985728/creative/CR420714174314708992,Video,"CZ, EU",AR534745624742985728,Svoboda a přímá demokracie (SPD),,2020-06-05,2020-06-06,2,≤ 10k,,2020-06-05 21:15:00 UTC,2020-06-06 21:00:00 UTC,Not targeted,Not targeted,Czech Republic,Not targeted,0,100,0,50,250,2500,25,250,100,1500,0,1000,0,500,0,7500,0,100,75,750,0,750,0,50,0,200
CR474266575340306432,https://transparencyreport.google.com/political-ads/library/advertiser/AR534745624742985728/creative/CR474266575340306432,Video,"CZ, EU",AR534745624742985728,Svoboda a přímá demokracie (SPD),,2020-11-21,2020-11-21,1,≤ 10k,,2020-11-21 12:00:00 UTC,2020-11-21 20:45:00 UTC,Not targeted,Not targeted,Czech Republic,Not targeted,0,100,0,50,250,2500,25,250,100,1500,0,1000,0,500,0,7500,0,100,75,750,0,750,0,50,0,200
CR216280156296183808,https://transparencyreport.google.com/political-ads/library/advertiser/AR553497074000199680/creative/CR216280156296183808,Image,"CZ, EU",AR553497074000199680,"PULARY, s. r. o.",,2021-08-17,2021-08-21,5,≤ 10k,,2021-08-17 10:00:00 UTC,2021-08-22 07:00:00 UTC,"18-24, 25-34, 35-44, 45-54, 55-64, ≥65, Unknown age, ≤18","Male, Female, Unknown gender",Ostrava,Not targeted,0,100,0,50,250,2500,0,25,0,100,0,1000,0,500,0,7500,0,100,0,75,0,750,0,50,0,200
CR269478926894497792,https://transparencyreport.google.com/political-ads/library/advertiser/AR553497074000199680/creative/CR269478926894497792,Image,"CZ, EU",AR553497074000199680,"PULARY, s. r. o.",,2021-08-17,2021-08-21,5,≤ 10k,,2021-08-17 11:00:00 UTC,2021-08-22 06:00:00 UTC,"18-24, 25-34, 35-44, 45-54, 55-64, ≥65, Unknown age, ≤18","Male, Female, Unknown gender",Ostrava,Not targeted,0,100,0,50,0,250,0,25,0,100,0,1000,0,500,0,7500,0,100,0,75,0,750,0,50,0,200
